epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1366.22,0.57119,0.44462,0.92726,0.95907,0.9614,0.99092,0.86024,0.53266,0.38539,0.91734,0.000222066,0.000222066,0.000222066
93,1380.61,0.58767,0.45652,0.93039,0.97303,0.9587,0.99125,0.86606,0.51977,0.38196,0.91258,0.000218397,0.000218397,0.000218397
94,1395.51,0.59244,0.44751,0.93088,0.94791,0.95937,0.98993,0.88318,0.52618,0.40107,0.91636,0.000214727,0.000214727,0.000214727
95,1410.32,0.56757,0.42584,0.91362,0.97727,0.97102,0.99038,0.86982,0.53055,0.37867,0.91685,0.000211058,0.000211058,0.000211058
96,1425.37,0.57419,0.44567,0.92825,0.97212,0.96,0.98985,0.87813,0.52993,0.36899,0.91602,0.000207388,0.000207388,0.000207388
97,1439.91,0.57329,0.44601,0.93004,0.97448,0.9654,0.99059,0.85987,0.54646,0.36949,0.9196,0.000203718,0.000203718,0.000203718
98,1455,0.57318,0.43401,0.93108,0.97372,0.97598,0.98582,0.87349,0.51444,0.37078,0.9081,0.000200049,0.000200049,0.000200049
99,1469.8,0.56609,0.45022,0.93101,0.969,0.97392,0.9848,0.86506,0.51855,0.37622,0.92381,0.000196379,0.000196379,0.000196379
100,1484.42,0.56427,0.42534,0.9233,0.9589,0.96526,0.98862,0.88472,0.48856,0.36557,0.9021,0.00019271,0.00019271,0.00019271
101,1499.8,0.57025,0.43356,0.93014,0.97367,0.97405,0.98854,0.88026,0.50059,0.36331,0.90565,0.00018904,0.00018904,0.00018904
102,1514.49,0.55416,0.42216,0.92485,0.97082,0.96885,0.99016,0.87737,0.50271,0.35897,0.90531,0.00018537,0.00018537,0.00018537
103,1528.88,0.55028,0.42199,0.92059,0.96758,0.96177,0.99094,0.88278,0.50212,0.35807,0.91288,0.000181701,0.000181701,0.000181701
104,1543.85,0.54479,0.41957,0.92054,0.972,0.96368,0.98985,0.8822,0.48742,0.35041,0.91327,0.000178031,0.000178031,0.000178031
105,1558.58,0.55598,0.42688,0.92877,0.96388,0.96411,0.987,0.87508,0.48334,0.35963,0.90597,0.000174362,0.000174362,0.000174362
106,1573.28,0.54931,0.42176,0.91627,0.9802,0.96604,0.9902,0.8804,0.49554,0.36049,0.90518,0.000170692,0.000170692,0.000170692
107,1587.72,0.53935,0.41099,0.92594,0.97405,0.97014,0.99098,0.87395,0.50748,0.35782,0.90595,0.000167022,0.000167022,0.000167022
108,1602.4,0.54431,0.42681,0.92654,0.97458,0.9628,0.99108,0.8704,0.51215,0.36544,0.90854,0.000163353,0.000163353,0.000163353
109,1616.91,0.54125,0.41409,0.91848,0.97542,0.96552,0.98741,0.87222,0.50349,0.3706,0.91234,0.000159683,0.000159683,0.000159683
110,1630.95,0.52489,0.40745,0.90832,0.96292,0.96421,0.98992,0.87686,0.5141,0.36971,0.90633,0.000156014,0.000156014,0.000156014
111,1645.6,0.53831,0.41037,0.91393,0.96182,0.95792,0.98822,0.87665,0.5073,0.36158,0.90669,0.000152344,0.000152344,0.000152344
112,1659.56,0.52881,0.39941,0.90931,0.96585,0.95647,0.98973,0.87484,0.50757,0.37164,0.91528,0.000148674,0.000148674,0.000148674
113,1673.74,0.54394,0.41468,0.92079,0.94969,0.9584,0.99093,0.87701,0.53138,0.3863,0.92672,0.000145005,0.000145005,0.000145005
114,1687.02,0.51967,0.39076,0.90762,0.95846,0.95033,0.99153,0.8818,0.51169,0.3866,0.9132,0.000141335,0.000141335,0.000141335
115,1700.76,0.53151,0.4143,0.92708,0.94435,0.95709,0.9902,0.86836,0.53038,0.37734,0.92599,0.000137666,0.000137666,0.000137666
116,1714.71,0.52385,0.39157,0.91508,0.96042,0.96415,0.98671,0.87421,0.50911,0.37882,0.9123,0.000133996,0.000133996,0.000133996
117,1729.18,0.52109,0.39963,0.91172,0.97191,0.96821,0.98782,0.8818,0.49462,0.36561,0.90407,0.000130326,0.000130326,0.000130326
118,1743.24,0.51007,0.39071,0.9048,0.97136,0.9633,0.98726,0.88229,0.486,0.35946,0.89832,0.000126657,0.000126657,0.000126657
119,1757.35,0.52275,0.40664,0.92298,0.96115,0.96772,0.9867,0.88937,0.48299,0.36037,0.90676,0.000122987,0.000122987,0.000122987
120,1772,0.50618,0.38353,0.90472,0.96252,0.96599,0.98409,0.87365,0.48368,0.35117,0.90664,0.000119318,0.000119318,0.000119318
121,1786.38,0.51421,0.38829,0.90606,0.96773,0.96167,0.98737,0.87377,0.51072,0.35059,0.91372,0.000115648,0.000115648,0.000115648
122,1800.55,0.5074,0.38555,0.91151,0.9692,0.95806,0.98947,0.87226,0.51845,0.34986,0.90714,0.000111978,0.000111978,0.000111978
123,1815.29,0.49493,0.38572,0.90983,0.96303,0.95371,0.98947,0.88142,0.48953,0.35556,0.90451,0.000108309,0.000108309,0.000108309
